_id,MERCHANT_NAME,PAN_NUMBER,MERCHANT_ID,MOBILE_NUMBER,ACQUIRER_NAME,REMARKS,STATUS,REALLOCATED_DATE,REALLOCATD_BY,DATA_SYNCED_DATE,REQUESTED_BRANCH_NAME,REQUESTED_BRANCH_CODE,updated_at
7827,LAKE CITY CAFE,112991292,247425,9849917107,SAGARMATHA Bank,QR Standee not received,REALLOCATED,2022-06-08T11:41:43,rabin.maharjan@khalti.com,2024-07-17T02:44:59,,,23:43.2
10006,SAMAJ DENTAL PVT LTD.,605945023,247589,9851322082,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-08-03T10:32:02,sabina.dahal,2024-07-17T02:44:59,,,23:43.2
1521,Puja  enterprises.,614539178,247599,9860596822,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,APPROVED,,,2024-07-17T02:44:59,,,23:43.2
15718,PANC BIKE PVT. LTD.,603908040,247830,9808122855,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-12-15T09:53:59,Sunrise_Rohit,2024-07-17T02:44:59,,,23:43.2
12775,NOVEL FANCY AND SHOES,611320205,247981,9866057749,SAGARMATHA Bank,Banking relationship with another bank,APPROVED,,,2024-07-17T02:44:59,,,23:43.2
25376,PRASHUN AND JAMUNA FANCY COLLECTION,613538220,248180,9846658468,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2023-09-21T12:43:16,SHRIYA,2024-07-17T02:44:59,AMARSINGH CHOWK,126,23:43.2
21996,HIMAL FRUIT CENTER,603250143,248191,9856041244,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-07-13T12:09:18,MNBBL_ANJU,2024-07-17T02:44:59,AMARSINGH BRANCH,78,23:43.2
27792,PHUYAL FRUIT CENTER,603255614,248195,9856023430,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-11-28T10:51:21,GLOBAL_ANU,2024-07-17T02:44:59,AMARSINGHCHOWK BRANCH                   ,E1,23:43.2
3325,AARADHYA BIJULI PASAL,611860826,248325,9841551938,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-01-26T12:15:41,Nepalmaker,2024-07-17T02:44:59,,,23:43.2
11344,KUMAR SAMRAT ENTERPRISES,304581627,249187,9851067736,SAGARMATHA Bank,Nearby Location,REALLOCATED,2022-09-01T11:07:46,Parash07,2024-07-17T02:44:59,,,23:43.2
22258,R.N. HOTEL AND LODGE,107936767,249332,9842031088,SAGARMATHA Bank,Shutdown/Closed,REALLOCATED,2023-07-04T13:10:13,MBL_ANUSHA,2024-07-17T02:44:59,TANKISINWARI BRANCH,TKS,23:43.2
30057,SHAHEEN MOTORBIKE SERVICE CENTER,119329902,249361,9815373299,SAGARMATHA Bank,Banking relationship with another bank,WITHDRAWN,,,2024-07-17T02:44:59,BIRATNAGAR M 097,97,23:43.2
3137,SUMMER KITCHEN PASAL,605084414,249365,9862155989,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-01T12:34:42,anjana.sapkota,2024-07-17T02:44:59,,,23:43.2
18653,JAY MAA KAMKHYA MOBILE REPAIRING CENTER,921237630,249897,9808551835,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-03-31T10:19:05,SBL_RAMANANDACHOWK,2024-07-17T02:44:59,RAMANANDA CHOWK,162,23:43.2
7066,SHAHI HARDWARE AND SUPPLIERS,614805941,250488,9860000185,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-05-04T11:34:50,SBL_LAMKI,2024-07-17T02:44:59,,,23:43.2
8892,LAGAN CREATIONS,614971644,251515,9849181790,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-07-01T10:01:57,NMB_MAHENDRA,2024-07-17T02:44:59,,,23:43.2
26016,NECHHE NEWARI KHAJA AND FAST FOOD,605818194,251669,9841573549,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-09-29T09:57:38,UMESH_THOKAR,2024-07-17T02:44:59,PULCHOWK-164,164,23:43.2
8066,PARBAT FANCY PASAL,303357344,251722,9841491098,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-06-14T11:32:55,manishuprety,2024-07-17T02:44:59,,,23:43.2
27076,JANATA MEDICAL CENTER,300984848,251734,9804427714,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-11-01T10:13:22,DSA_SAROJPOUDEL,2024-07-17T02:44:59,,,23:43.2
15999,JAY MAA KIRANA,302079421,251738,9803162552,SAGARMATHA Bank,Account Closed,REALLOCATED,2022-12-27T16:10:02,eSewa_Komal,2024-07-17T02:44:59,,,23:43.2
39843,RAUNIYAR AND SHYAM TRADERS,605778292,251858,9841551319,SAGARMATHA Bank,"I have Maintain to Rastriya Banijya Bank
",REALLOCATED,2024-06-05T15:22:58,12921,2024-07-17T02:44:59,MAIN BRANCH OFFICE,109,23:43.2
2755,KARUNA FANCY    *,611350532,251887,9851096727,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2023-01-20T12:11:22,MAHALAXMI_ANUSHKA,2024-07-17T02:44:59,,,23:43.2
6801,RADHE RADHE OPTICAL AND EYE CARE,113995956,251922,9866559885,SAGARMATHA Bank,Dissatisfied with the service,WITHDRAWN,,,2024-07-17T02:44:59,,,23:43.2
2432,BALKOT ELECTRICAL AND ELECTRONICS SUPPLIERS,611860707,252847,9843068322,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-06T16:11:40,O355,2024-07-17T02:44:59,,,23:43.2
3129,INDRENI STICK FOOD CAFE,611041829,252953,9864475889,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-01T12:33:39,anjana.sapkota,2024-07-17T02:44:59,,,23:43.2
34695,NEW DIDI BAHINI SILAI KATAI PRASHIKSHAN KENDRA,601696136,254064,9848430971,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-04-01T13:37:24,eSewa_Shreya,2024-07-17T02:44:59,,,23:43.2
16117,HOTEL SAGUN AND MISHTHANNA BHANDAR,614675454,254148,9847320276,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-01-01T10:16:33,NEPAL_SUBASH,2024-07-17T02:44:59,,,23:43.2
3846,BHIMAD NAN HOUSE,615418201,254543,9816137569,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-03T12:28:50,MNBBL_DEVI,2024-07-17T02:44:59,,,23:43.2
34302,DOLFIN NET COMMUNICATION PVT. LTD,606800312,255068,9802971066,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-03-29T15:27:40,eSewa_Bibek,2024-07-17T02:44:59,,,23:43.2
3848,AMBE HARDWARE AND TILES CENTER,607207569,255089,9852028137,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-03T12:28:59,MNBBL_DEVI,2024-07-17T02:44:59,,,23:43.2
8081,HIMALAYAN SINGING BOWL CENTRE,302298121,255524,9851046748,SAGARMATHA Bank,Account Closed,REALLOCATED,2022-06-11T21:27:05,NMB_MAHENDRA,2024-07-17T02:44:59,,,23:43.2
7742,BHAGAWAN READYMADE CENTER,303733245,256714,9841706616,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-05-29T13:05:36,NMB_MAHENDRA,2024-07-17T02:44:59,,,23:43.2
40967,PRANISHA TRADERS,305505721,256906,9842021445,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-21T15:05:38,EBLQRMAKER@0171,2024-07-17T02:44:59,,,23:43.2
27744,B AND B COMMUNICATION AND CYBER,601690154,257009,9841021523,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-11-24T10:21:12,MNBBL_ANJU,2024-07-17T02:44:59,DHUNGAADDA BRANCH,95,23:43.2
1337,BINOD SUNCHANDI PASAL,604864792,257310,9846037434,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-10T15:40:20,PRIME_PRABESH,2024-07-17T02:44:59,,,23:43.2
6644,NS TRADERS,601818150,257432,9842138926,SAGARMATHA Bank,Registered without my knowledge,REALLOCATED,2022-07-04T11:32:47,MBL_LAXMI,2024-07-17T02:44:59,,,23:43.2
36776,RANA SUPPLIERS,608620691,258006,9855053191,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-04-19T16:16:25,1921BS,2024-07-17T02:44:59,,,23:43.2
23445,NI. LUMBINI MOTOR CYCLE PARTS,304418280,258380,9847254872,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-07-23T09:57:48,SHINE_KISHOR.PANTHI,2024-07-17T02:44:59,SALJHANDI BRANCH,72,23:43.2
38924,NEW AMRIT SUNCHANDI PASAL,602093576,258391,9841736821,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2024-05-24T10:28:20,PRIME_RESHMA,2024-07-17T02:44:59,THANTIPOKHARI BRANCH,137,23:43.2
1595,SATYAM STORE..,103293152,258421,9801240444,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,APPROVED,,,2024-07-17T02:44:59,,,23:43.2
42307,GROUP THREE MULTIPURPOSE PRIVATE LIMITED,609595941,258803,9851171475,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-31T16:30:57,soshtika_eSewa,2024-07-17T02:44:59,,,23:43.2
21620,UNITED SHOE STORES,300879924,258852,9802573993,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-06-11T16:36:28,OI_HETAUDA,2024-07-17T02:44:59,HETAUDA,36,23:43.2
8063,P S ACCESSORIES,605594676,258954,9860323555,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2022-06-13T11:41:22,Parash07,2024-07-17T02:44:59,,,23:43.2
5029,BHOJGHAR PVT LTD.,605983900,258956,9851214140,SAGARMATHA Bank,Due to the management change,REALLOCATED,2022-02-24T15:50:09,SUNRISE_SUMAN,2024-07-17T02:44:59,,,23:43.2
36063,Krishna Gandaki Fruit Center,305586799,259063,9846025352,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2024-04-28T12:03:02,DSA_BARSHALAMICHHANE,2024-07-17T02:44:59,,,23:43.2
3523,OM LAXMI NARYAN STORES,601102293,259080,9856024197,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-23T14:44:34,MEGA_ASHISHG,2024-07-17T02:44:59,,,23:43.2
11085,HAMRO DAIRY AND BAKERY,921237840,259098,9862093262,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-10-10T16:42:52,ANIL782,2024-07-17T02:44:59,,,23:43.2
27844,SIGDEL KIRANA STORE,600752923,259252,9813976300,SAGARMATHA Bank,Banking relationship with another bank,WITHDRAWN,,,2024-07-17T02:44:59,Branch Office Chabahil,NP0010105,23:43.2
26264,LATEST COLLECTION.,302937385,260242,9856021166,SAGARMATHA Bank,Nearby Location,REALLOCATED,2023-12-05T15:07:02,11952,2024-07-17T02:44:59,MAHENDRAPUL,343,23:43.2
368,MA AJIMA TRADERS,605656088,260277,9816225199,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-01-23T13:17:57,PRABHU_SAJAN,2024-07-17T02:44:59,,,23:43.2
29436,Sameer Money Transfer,603962802,260354,9867327484,SAGARMATHA Bank,Dissatisfied with the service,REALLOCATED,2024-01-25T13:22:12,eSewa_Bibek,2024-07-17T02:44:59,BUTWAL,10,23:43.2
3518,ASHOK JAISWAL ENTERPRISES,100888436,260374,9811996697,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-23T14:44:02,MEGA_ASHISHG,2024-07-17T02:44:59,,,23:43.2
3134,R ONE ELECTRONICS.,600578426,260384,9851279618,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-01T12:34:13,anjana.sapkota,2024-07-17T02:44:59,,,23:43.2
25127,GLITTERZ FASHION STORE,607212509,260468,9811843734,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-09-07T12:38:57,SHRIYA,2024-07-17T02:44:59,BHARATPUR,138,23:43.2
19393,SUNAULO MEDICAL HALL,303365589,261645,9855062066,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-04-03T12:30:03,EVEREST_NIRAJ,2024-07-17T02:44:59,,,23:43.2
7612,J C KHADHAYAN STORES,613301761,262450,9813952532,SAGARMATHA Bank,Registered without my knowledge,REALLOCATED,2022-05-24T16:59:49,Lbbl_Dikesh,2024-07-17T02:44:59,,,23:43.2
887,SHIVAM GENERAL TRADING.,612361692,262532,9801649760,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-15T10:42:44,everest_digital,2024-07-17T02:44:59,,,23:43.2
36103,RAMESH SING SHRESTHA,603941559,262589,9863346374,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2024-04-28T10:35:30,ILA,2024-07-17T02:44:59,GONGABU,10,23:43.2
18923,DEURALI CHISAPANI MADIRA PASAL,611234030,263145,9819164616,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-04-11T15:03:16,eSewa_rakhi,2024-07-17T02:44:59,,,23:43.2
11122,SAMITA GENERAL STORE,600196932,263224,9865609721,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-08-26T10:33:48,12004,2024-07-17T02:44:59,,,23:43.2
37624,THAPA ELECTRIC SHOP,304304600,263604,9851002611,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2024-05-12T12:20:27,MBL_LAXMI,2024-07-17T02:44:59,LAZIMPAT BRANCH,KTM,23:43.2
26489,Rich Beans Cafe Pvt.Ltd.,609737633,264278,9857031319,SAGARMATHA Bank,Account Closed,REALLOCATED,2024-04-16T09:11:52,eSewa_pawan,2024-07-17T02:44:59,BUTWAL (CHAURAHA),D5,23:43.2
20368,RIDDHI SIDDHI MONEY TRANSFER,604023452,264482,9842790942,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-05-17T10:13:12,SBL_DAMAK,2024-07-17T02:44:59,DAMAK,7,23:43.2
28866,S.THREE TECHNOLOGY PVT.LTD,609697384,264656,9816328724,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2024-01-08T09:42:01,UMESH_THOKAR,2024-07-17T02:44:59,,,23:43.2
31231,LAKHANPUR MONEY TRANSFER,305329990,264715,9852675429,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-02-23T15:39:27,eSewa_Bibek,2024-07-17T02:44:59,,,23:43.2
15142,SHREE JANAK KASTHAKALA UDYOG,301574743,264727,9848088988,SAGARMATHA Bank,I am unknown about the marchant registration also i have taken all the financial facility form rastriya banijya bank so i want QR code from RBB,REALLOCATED,2022-11-29T13:08:43,O295,2024-07-17T02:44:59,,,23:43.2
37389,Paroha Money Transfer,603768187,264766,9865014631,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-04-23T11:55:37,eSewa_Sabin,2024-07-17T02:44:59,,,23:43.2
41934,SHREE SHRESTHA SHOPPING CENTER *,600116279,264833,9856046169,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-29T12:14:25,sudarshant,2024-07-17T02:44:59,,,23:43.2
3656,KHASEULI RODI CLUB PVT LTD,609918546,264953,9847153860,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-01T13:03:06,NIKKIM,2024-07-17T02:44:59,,,23:43.2
20033,SUNWAR HOTEL,303171153,265915,9811032732,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-06-04T12:19:32,NABIL_MANJARI,2024-07-17T02:44:59,ITAHARI,9,23:43.2
39137,Nilkantha Hotel & Lodge,600734862,265919,9819307268,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-09T13:16:00,eSewa_Sabin,2024-07-17T02:44:59,,,23:43.2
29754,Birat Biryani House,614964055,265937,9823505047,SAGARMATHA Bank,Nearby Location,REALLOCATED,2024-02-07T11:20:03,SYSTEM,2024-07-17T02:44:59,BIRATNAGAR,7,23:43.2
35223,NEHA BAXA STORE,305176260,265972,9806052244,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-04-03T17:12:59,yojana.ghimire,2024-07-17T02:44:59,,,23:43.2
2269,RIDDHI SIDDHI COLD CENTER AND SUPPLIERS,613619323,265975,9817921676,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-01-27T14:14:27,SUNRISE_RAJENDRA,2024-07-17T02:44:59,,,23:43.2
28044,PUSPA AROHI TRADERS,613184533,266340,9848441887,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2024-01-04T15:04:08,SBL_BAUNIYA,2024-07-17T02:44:59,BAUNIYA,48,23:43.2
40086,TRILOCHANA INTERNATIONAL TRADING PVT. LTD.,606549367,267180,9851047663,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2024-06-03T14:12:48,MEGA_ASHISHG,2024-07-17T02:44:59,LAZIMPAT 036,36,23:43.2
6582,NEW DURGA FANCY STORES,605568949,267457,9808163320,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-04-20T11:08:02,anjana.sapkota,2024-07-17T02:44:59,,,23:43.2
11073,CHAPAGAIN BAKERY UDHYOG,608303251,267856,9803531151,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2022-09-02T10:40:09,13059,2024-07-17T02:44:59,,,23:43.2
22061,D.B PLASTIC CENTER *,602855352,267871,9847681430,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2023-06-25T14:52:43,O295,2024-07-17T02:44:59,PATICHOUR,344,23:43.2
19806,ISMITA SEWING CUTTING AND TRAINING CENTER,602654234,267938,9847757006,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2023-04-26T12:26:37,I19185,2024-07-17T02:44:59,PATICHOUR,344,23:43.2
13110,BINDABASINI MAI ELECTRONICS,611143040,268073,9856022434,SAGARMATHA Bank,Not able to proceed online transactions via mobile banking i.e no option for fund transfer just able to check the balance which can even be done through message alert.,REALLOCATED,2022-10-13T10:03:56,12811,2024-07-17T02:44:59,,,23:43.2
39269,BAGEHITI INTERNATIONAL PRIVATE LIMITED,609773633,268222,9868838961,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-10T12:25:47,KARUNA_KOIRALA,2024-07-17T02:44:59,,,23:43.2
12057,SHUVA LAXMI BHADA PASAL,600286781,268452,9842110343,SAGARMATHA Bank,Loan settlement from the other bank,REALLOCATED,2022-09-17T14:25:22,12781,2024-07-17T02:44:59,,,23:43.2
27683,Mamita & Arun Store,610886139,268695,9843320851,SAGARMATHA Bank,Business/Management Decision,REALLOCATED,2023-11-23T15:01:13,eSewa_Biswash,2024-07-17T02:44:59,LALITPUR,19,23:43.2
11160,SHYAM KIRANA STORE,603264344,268824,9868821357,SAGARMATHA Bank,Account Closed,REALLOCATED,2022-08-28T17:18:40,sabina.dahal,2024-07-17T02:44:59,,,23:43.2
12033,PANCHAKANYA DEVI KATH FURNITURE,606489980,269193,9842340648,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-09-14T16:54:50,Priska_Checker,2024-07-17T02:44:59,,,23:43.2
15694,CHAMLING SUPPLIERS..,606096133,269203,9817702832,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-12-15T10:35:00,NEPAL_SUBASH,2024-07-17T02:44:59,,,23:43.2
6435,BHERI BABAI BAKERY KHAJA GHAR,102050570,269376,9849680672,SAGARMATHA Bank,Nearby Location,REALLOCATED,2022-04-15T10:45:38,PRABHU_SUNIL,2024-07-17T02:44:59,,,23:43.2
18999,NEW BASANTA NURSERY,600935054,269424,9841179997,SAGARMATHA Bank,To maintain all business transaction in one bank,REALLOCATED,2023-04-09T11:19:36,SHRUTIK5943,2024-07-17T02:44:59,Branch Office Taplejung,NP0010013,23:43.2
14587,SURAJ GENERAL ORDER SUPPLIERS.....,608642934,269495,9804499995,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2022-10-20T17:27:20,eSewa_Komal,2024-07-17T02:44:59,,,23:43.2
15178,A.K. INTERNATIONAL BUSINESS PVT. LTD.,603905128,270120,9822938435,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-11-25T11:51:29,SAGAR_POUDYAL,2024-07-17T02:44:59,,,23:43.2
25999,FAMOUS MOMO AND CHAT HOUSE,614329478,270121,9840906824,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-10-06T14:55:28,eSewa_Bibek,2024-07-17T02:44:59,Jawalakhel,R8,23:43.2
5354,.SAILUNG STORE,605839810,270168,9818377442,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-05-05T11:32:37,O295,2024-07-17T02:44:59,,,23:43.2
21109,HOTEL NEPALESE UNITED P.LTD,303022640,270192,9841171222,SAGARMATHA Bank,Loan settlement from the other bank,REALLOCATED,2023-05-31T14:11:08,SHRUTIK5943,2024-07-17T02:44:59,Branch Office Putalisadak,NP0010099,23:43.2
9911,SAFALTA DAIRY PRODUCT AND PANEER WHOLESALE,613848611,270308,9813401655,SAGARMATHA Bank,No Business transaction with this bank/wallet,REALLOCATED,2022-08-03T14:37:55,SHRIYA,2024-07-17T02:44:59,,,23:43.2
8964,NAULO BOOKS AND STATIONERY CENTRE,606266767,270475,9862027447,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-07-03T17:20:14,SHRIYA,2024-07-17T02:44:59,,,23:43.2
26299,DHULIKHEL PAUDEL HOTEL,303207777,270688,9851194642,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-10-10T15:19:44,PRABHU_SUNIL,2024-07-17T02:44:59,,,23:43.2
6547,GEETA PUSTAK BHANDAR,921243961,270918,9841492041,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-05-20T09:33:26,SBL_BARDIBAS,2024-07-17T02:44:59,,,23:43.2
39134,Patichaur Electric Centre,600297996,270924,9867642583,SAGARMATHA Bank,Direct Acquired,REALLOCATED,2024-05-09T13:10:53,eSewa_Sabin,2024-07-17T02:44:59,,,23:43.2
8956,K B KAHDYA STORE,614956971,271375,9861976001,SAGARMATHA Bank,Business/Management Decision,REALLOCATED,2022-07-12T15:24:19,eSewa_rakhi,2024-07-17T02:44:59,,,23:43.2
2927,SAKSHYAM KAPADA PASAL,304268173,271977,9849029456,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-07T16:05:45,NEPAL_GOPAL,2024-07-17T02:44:59,,,23:43.2
31400,HOTEL CITY PALACE,608458508,272174,9856057722,SAGARMATHA Bank,Loan settlement from the other bank,REALLOCATED,2024-03-13T12:59:25,NABIL_POOJA,2024-07-17T02:44:59,,,23:43.2
25713,NEW RAWAT KIRANA PASAL,611971201,272180,9864275414,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-09-21T16:27:18,eSewa_rakhi,2024-07-17T02:44:59,BUTWAL,10,23:43.2
3839,HOTEL ZAMBALA & CAFE PVT. LTD,609531150,272198,9823104202,SAGARMATHA Bank,Acquirer Changed From Fonepay system for previously approved release requests,REALLOCATED,2022-02-03T12:28:12,MNBBL_DEVI,2024-07-17T02:44:59,,,23:43.2
5768,VALLEY LIQUOR MART PVT. LTD.,609905740,272310,9802310901,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-03-30T16:20:33,NSBL_DINESH,2024-07-17T02:44:59,,,23:43.2
6912,LAXMI SURANGANA STORE,600729105,272527,9851177428,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-05-04T10:13:38,CENTURY_PRIZMA,2024-07-17T02:44:59,,,23:43.2
9850,G.H.R PIZERIA AND COFFEE HOUSE,605041008,273090,9849910230,SAGARMATHA Bank,Dissatisfied with the service,REALLOCATED,2022-07-13T16:08:50,everest_digital,2024-07-17T02:44:59,,,23:43.2
8018,D. M. V. BOUTIQUE,604799005,273306,9808684355,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-06-09T13:06:03,NABIL_SAMITA,2024-07-17T02:44:59,,,23:43.2
9070,SHIVA SHIKHAR MULTIPURPOSE COOPERATIVE LTD,912345993,273387,9741861889,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2022-06-29T13:42:40,eSewa_Komal,2024-07-17T02:44:59,,,23:43.2
14790,FIKKAL KHANEPANI UPABHOKTA TATHA SARSAFAI SANSTHA,138746249,273629,9842647831,SAGARMATHA Bank,Business/Management Decision,REALLOCATED,2022-11-06T15:23:58,SHRIYA,2024-07-17T02:44:59,,,23:43.2
21223,LAXMI  STORES,300614369,273640,9842626367,SAGARMATHA Bank,Banking relationship with another bank,REALLOCATED,2023-06-04T11:30:43,1287,2024-07-17T02:44:59,BHADRAPUR,452,23:43.2
