id,icon,active,mnemonic,has_limit,created_by,offer_text,service_id,sort_order,instruction,total_param,account_name,created_date,unicode_name,email_address,merchant_name,account_number,contact_number,iso_field_type,allow_repayment,is_direct_group,display_position,last_modified_by,merchant_type_id,merchant_group_id,last_modified_date,payable_limit_type,account_branch_code,redirect_to_fonepay,merchant_description,allow_counter_payment,merchant_category_code_id,unicode_merchant_description,updated_at
23,Khalti-icon.png,Y,KHALTI,Y,1,,32,2,"Please enter your Khalti Id, select amount and other details to load fund to your khalti account.",1,,"Row(member0=Timestamp('2018-10-30 17:06:41'), member1=None)",unicode,,KHALTI,00954055240004,,D,,N,payment,,1,4.0,,R,0,N,Khalti payment,N,,,2024-08-07 07:05:25.427
25,smart-cell.png,Y,STTOP,Y,1,,27,6,Please enter your Smart Cell Mobile Number and select amount to recharge your balance.,1,,"Row(member0=Timestamp('2019-11-07 12:51:10'), member1=None)",Mobile Khalti,,SmartCell,00954055240004,,D,,N,payment,,1,2.0,,F,0,N,SmartCell Topup,N,,,2024-08-07 07:05:25.427
26,card-credit.png,Y,CIPS,Y,1,,28,4,Please enter required details to transfer fund to other bank's account.,4,,"Row(member0=Timestamp('2019-12-26 16:21:12'), member1=None)",unicode,,ConnectIPS,00954055240004,,D,,N,payment,1.0,1,1.0,"Row(member0=Timestamp('2021-03-07 14:09:45'), member1=None)",R,0,N,Ips Connect,N,,,2024-08-07 07:05:25.427
27,mobile-topup.png,Y,MBTOPUP,N,1,,21,3,"Please enter your NTC, NCELL, CDMA, SMART Mobile Number and select amount to recharge your balance.",2,,"Row(member0=Timestamp('2020-11-04 18:30:46'), member1=None)",unicode,,Mobile Topup,00954055240004,,D,,Y,payment,,1,2.0,,R,0,N,Mobile Topup,N,,,2024-08-07 07:05:25.427
28,mobile-cash.png,N,CLW,Y,1,,30,1,,1,,"Row(member0=Timestamp('2021-03-16 16:45:11'), member1=None)",unicode,,Cardless Withdraw,00954055240004,,D,,Y,payment,,1,1.0,,R,0,N,Cardless withdraw,N,,Cardless withdraw,2024-08-07 07:05:25.427
29,remit.png,Y,IREMIT,Y,1,,29,1,,2,,"Row(member0=Timestamp('2021-03-21 13:38:28'), member1=None)",IREMIT,,IREMIT,00954055240004,,D,,N,payment,,1,1.0,,R,0,N,IREMIT,N,,IREMIT,2024-08-07 07:05:25.427
30,creditcard.png,Y,IBCCP,Y,1,,31,7,,2,,"Row(member0=Timestamp('2021-06-06 08:37:27'), member1=None)","InterBank Credit Card
",,"Interbank Credit Card Bill
",00954055240004,,D,,N,payment,,1,1.0,,R,0,N,InterBank Credit Card Bill Payment,N,,,2024-08-07 07:05:25.427
31,ime-pay.png,D,IMEPAY,Y,1,,21,3,,1,,"Row(member0=Timestamp('2021-09-21 17:45:14'), member1=None)",IMEPAY,,IMEPAY,00954055240004,,D,,N,payment,,1,4.0,,R,0,N,Ime payment,N,,,2024-08-07 07:05:25.427
32,,Y,KHALTI1,Y,1,,22,1,,4,,"Row(member0=Timestamp('2021-09-24 09:54:32'), member1=None)",Convergent Khalti,,Khalti Conv,00954055240004,,D,,N,"payment,sidemenu",6.0,1,1.0,"Row(member0=Timestamp('2022-02-27 17:24:04'), member1=None)",R,0,N,Convergent Khalti,N,,,2024-08-07 07:05:25.427
33,,D,NPS,Y,1,,22,1,,4,,"Row(member0=Timestamp('2021-09-24 09:56:54'), member1=None)",NPS,,NPS,00954055240004,,D,,Y,payment,1.0,1,,"Row(member0=Timestamp('2022-11-15 10:50:21'), member1=None)",R,0,N,Nepal Payment System,N,,,2024-08-07 07:05:25.427
34,ncell.png,Y,NCELL_DATA,Y,1,,34,1,,2,,"Row(member0=Timestamp('2022-09-04 13:49:37'), member1=None)",Ncell Data Pack,,Ncell Data Pack,00700100071925000001,,D,,N,payment,,1,5.0,,R,0,N,Ncell Data Pack,N,,,2024-08-07 07:05:25.427
35,ntc.png,Y,NTC_DATA,Y,1,,35,1,,2,,"Row(member0=Timestamp('2022-09-04 13:49:49'), member1=None)",Ncell Data Pack,,Ntc Data Pack,00700100071925000001,,D,,N,payment,,1,5.0,,R,0,N,Ntc Data Pack,N,,,2024-08-07 07:05:25.427
36,dish-home.png,Y,DISH_HOME,Y,1,,36,3,,1,,"Row(member0=Timestamp('2022-09-04 13:51:40'), member1=None)",Dish Home Pack,,Dish Home,00700100071925000001,,D,,N,payment,,1,5.0,,F,0,N,Dish Home Pack,N,,,2024-08-07 07:05:25.427
37,smartqr.png,Y,SMARTQR,Y,1,,38,5,,3,,"Row(member0=Timestamp('2022-09-15 10:15:01'), member1=None)",unicode,,SMARTQR,123456,,D,,N,payment,,1,1.0,,R,0,N,Smart QR,N,,unicode description,2024-08-07 07:05:25.427
38,,Y,NPSWALLET,Y,1,,39,1,,4,,"Row(member0=Timestamp('2022-11-15 11:27:44'), member1=None)",NPS WALLET,,NPS WALLET,00954055240004,,D,,N,payment,,1,1.0,,R,0,N,NPS,N,,,2024-08-07 07:05:25.427
39,A,Y,UAT,Y,1,,22,1,,4,,"Row(member0=Timestamp('2022-11-17 10:36:07'), member1=None)",UAT,,UAT,00954055240004,,D,,N,sidemenu,,1,1.0,,R,31,N,UAT INTEGRATION,N,2.0,,2024-08-07 07:05:25.427
40,mobile-cash.png,Y,CLW_CUSTOM,Y,1,,42,1,,1,,"Row(member0=Timestamp('2023-03-01 14:41:12'), member1=None)",unicode,,Cardless Withdraw,00954055240004,,D,,Y,payment,,1,6.0,,R,0,N,"Cardless Withdraw Request
",N,,,2024-08-07 07:05:25.427
41,,Y,ICASH,Y,1,,43,1,,3,,"Row(member0=Timestamp('2023-06-22 14:21:20'), member1=None)",ICASH,,ICASH,00000000,,D,,N,payment,1.0,1,8.0,"Row(member0=Timestamp('2023-06-22 17:36:41'), member1=None)",R,0,N,,N,,,2024-08-07 07:05:25.427
42,,Y,ESERVE,Y,1,,41,1,,4,,"Row(member0=Timestamp('2021-09-24 09:54:32'), member1=None)",ESERVE,,ESERVE,00954055240004,,D,,N,payment,6.0,1,1.0,"Row(member0=Timestamp('2022-02-27 17:24:04'), member1=None)",R,31,N,ESERVE,N,1.0,,2024-08-07 07:05:25.427
43,dish-home.png,Y,DISH_HOME_TV,Y,1,,36,3,,3,,"Row(member0=Timestamp('2023-09-10 10:27:07'), member1=None)",Dish Home TV,,Dish Home TV,xxx,,D,,N,payment,,1,5.0,,F,0,N,Dish Home TV,N,,,2024-08-07 07:05:25.427
46,,Y,TESTMERCHANT1,Y,1,,41,1,TEST_MERCHANT_1,4,,"Row(member0=Timestamp('2023-11-27 16:24:28'), member1=None)",TESTMERCHANT1,,TESTMERCHANT1,0012050061617626,,D,,N,payment,1.0,1,4.0,"Row(member0=Timestamp('2023-11-27 16:41:45'), member1=None)",R,0,N,TESTMERCHANT1,N,,TEST_MERCHANT_1,2024-08-07 07:05:25.427
47,,Y,TESTMERCHANT2,Y,1,,41,1,TESTMERCHANT2,4,,"Row(member0=Timestamp('2023-11-27 16:27:02'), member1=None)",TESTMERCHANT2,,TESTMERCHANT2,0012050061592602,,D,,N,payment,1.0,1,4.0,"Row(member0=Timestamp('2023-11-27 16:41:56'), member1=None)",R,0,N,TESTMERCHANT2,N,,TESTMERCHANT2,2024-08-07 07:05:25.427
48,,Y,TESTMERCHANT3,Y,1,,41,1,TESTMERCHANT3,4,,"Row(member0=Timestamp('2023-11-27 16:28:57'), member1=None)",TESTMERCHANT3,,TESTMERCHANT3,0012050061611613,,D,,N,payment,1.0,1,4.0,"Row(member0=Timestamp('2023-11-27 16:42:08'), member1=None)",R,0,N,TESTMERCHANT3,N,,TESTMERCHANT3,2024-08-07 07:05:25.427
49,,Y,TESTMERCHANT4,Y,1,,41,1,TESTMERCHANT4,4,,"Row(member0=Timestamp('2023-11-27 16:30:45'), member1=None)",TESTMERCHANT4,,TESTMERCHANT4,0012050061606609,,D,,N,payment,1.0,1,4.0,"Row(member0=Timestamp('2023-11-27 16:42:19'), member1=None)",R,0,N,TESTMERCHANT4,N,,TESTMERCHANT4,2024-08-07 07:05:25.427
50,,Y,TESTMERCHANT5,Y,1,,41,1,TESTMERCHANT5,4,,"Row(member0=Timestamp('2023-11-27 16:33:17'), member1=None)",TESTMERCHANT5,,TESTMERCHANT5,0012050061604607,,D,,N,payment,,1,4.0,,R,0,N,TESTMERCHANT5,N,,TESTMERCHANT5,2024-08-07 07:05:25.427
51,,Y,TESTMERCHANT6,Y,1,,41,1,TESTMERCHANT6,4,,"Row(member0=Timestamp('2023-11-27 16:35:32'), member1=None)",TESTMERCHANT6,,TESTMERCHANT6,0012050061475034,,D,,N,payment,,1,4.0,,R,0,N,TESTMERCHANT6,N,,TESTMERCHANT6,2024-08-07 07:05:25.427
52,,Y,TESTMERCHANT7,Y,1,,41,1,TESTMERCHANT7,4,,"Row(member0=Timestamp('2023-11-27 16:37:18'), member1=None)",TESTMERCHANT7,,TESTMERCHANT7,0012050061616628,,D,,N,payment,,1,4.0,,R,0,N,TESTMERCHANT7,N,,TESTMERCHANT7,2024-08-07 07:05:25.427
53,,Y,TESTMERCHANT8,Y,1,,41,1,TESTMERCHANT8,4,,"Row(member0=Timestamp('2023-11-27 16:38:54'), member1=None)",TESTMERCHANT8,,TESTMERCHANT8,0012050061600614,,D,,N,payment,,1,4.0,,R,0,N,TESTMERCHANT8,N,,TESTMERCHANT8,2024-08-07 07:05:25.427
54,,Y,TESTMERCHANT9,Y,1,,41,1,TESTMERCHANT9,4,,"Row(member0=Timestamp('2023-11-27 16:41:19'), member1=None)",TESTMERCHANT9,,TESTMERCHANT9,0012050061599606,,D,,N,payment,,1,4.0,,R,0,N,TESTMERCHANT9,N,,TESTMERCHANT9,2024-08-07 07:05:25.427
55,,Y,RTCC,Y,1,,47,9,,1,,"Row(member0=Timestamp('2024-06-27 14:07:03'), member1=None)",RTCC,,Credit Card Payment,00930015240004,,D,,N,sidemenu,,1,1.0,,R,0,N,,N,,,2024-08-07 07:05:25.427
1,ntc.png,Y,NTNAM,Y,1,,9,1,Please enter your NTC Mobile Number and select amount to recharge your balance.,1,,"Row(member0=Timestamp('2018-10-01 14:29:03'), member1=None)",unicode,,NT Prepaid Topup,01CA014355NPR001,,D,,N,payment,,1,2.0,"Row(member0=Timestamp('2019-02-01 08:32:23'), member1=None)",F,1,N,NT Prepaid Topup,N,,,2024-08-07 07:05:25.427
